ທະວີບອາຟະລິກ	Африка
ປະເທດກຳປູເຈຍ	Камбоджа
ໄດໂນເສົາ	Динозавры
ສາສະໜາອິສະລາມ	Ислам
ຈິດ	Ум
ສັນຕິພາບ	Мир (отсутствие войны)
ກາບກອນ	Поэзия
ຈັກກະພັດນາໂປເລອົງທີ 1	Наполеон I
ປີແສງ	Световой год
ໂອເຊອານີ	Океания
ລະບົບສຸລິຍະ	Солнечная система
ປຶ້ມ	Книга
ມື້	Сутки
ປີ	Год
ອົກຊີແຊນ	Кислород
ດົນຕີ	Музыка
ພາສາອິຕາລີ	Итальянский язык
ອາລູມິນຽມ	Алюминий
ປະເທດນູແວນເຊລັງ	Новая Зеландия
ປະເທດປາປົວຊີນູແວນກີເນ	Папуа — Новая Гвинея
ປະເທດເວເນຊູເອລາ	Венесуэла
ສັດ	Животные
ປະເທດຊູຣີນາມ	Суринам
ປະເທດປາຣາກວາຍ	Парагвай
ປະເທດກຸຍຢານ	Гайана
ສິລະປະ	Искусство
ປະເທດເອກົວເຕີ	Эквадор
ປະເທດໂກລົມບີ	Колумбия
ພຸດທະສາສະໜາ	Буддизм
ປະເທດໂບລີວີ	Боливия
ປະເທດກົວເຕມາລາ	Гватемала
ປະເທດອີຣານ	Иран
ປະເທດກົດສະຕາລິກາ	Коста-Рика
ປະເທດລາວ	Лаос
ທະວີບອາເມລິກາ	Америка
ງົວ	Корова
ປະເທດມາເລເຊຍ	Малайзия
ປະເທດມຽນມາ	Мьянма
ປະລາຕົງ	Платон
ຢູທູບ	YouTube
ປະເທດໄທ	Таиланд
ລົດໄຟ	Поезд
ປະເທດຫວຽດນາມ	Вьетнам
ປະເທດເກົາຫຼີໃຕ້	Республика Корея
ປະເທດບັງກະລາເທດ	Бангладеш
ປະເທດອັງໂກລາ	Ангола
ທະວິດເຕີ	Твиттер
ປະເທດບູໄນ	Бруней
ປະເທດຟີລິບປິນ	Филиппины
ປັກກິ່ງ	Пекин
ວິວັດທະນາການ	Эволюция
ສະຫະປະຊາຊາດ	Организация Объединённых Наций
ທໍລະນີສາດ	Геология
ພູມສາດ	География
ສີ	Цвет
ຄຳນາມ	Имя существительное
ປະເທດໂກໂຊໂວ	Республика Косово
ໝວດ:ມູນຖານ	Категория:Всё
ລະດູໜາວ	Зима
ລະດູບານໃໝ່	Весна
ລະດູຮ້ອນ	Лето
ລະດູໃບໄມ້ຫຼົ່ນ	Осень
ພາສາແອສະປາໂຍນ	Испанский язык
ໝາກໄມ້	Плод
ເງິນ	Деньги
ລັດນີວຢອກ	Нью-Йорк (штат)
Uetersen	Итерзен
Microsoft Windows	Windows
ໄທບີຣຽສ	Тиберий
ລົດ	Автомобиль
ບອກໂດ	Бордо
ໂຕກຽວ	Токио
ບາກເຊໂລນ	Барселона
ໝາກນັດ	Ананас крупнохохолковый
ກາໂຕລິກ	Католицизм
ພະຄຳພີ	Библия
ພະນົມເປັນ	Пномпень
ນິກາຍໂບດທູຈີຊັດ	Церковь истинного Иисуса
ພາສາອັງກິດ	Английский язык
ບາງກອກ	Бангкок
ດົງເຮີຍ	Донгхой
ໂກຣິສໂກໂວລາ	Коньсковоля
ປີ 2009	2009 год
ປີ 2008	2008 год
ອາຫານ	Пища
XML	XML
ການປະຕິວັດອຸດສາຫະກຳ	Промышленная революция
ໄມໂຄຼຊອຟທ໌	Microsoft
ຄູໂຣ	Курув
ເຄມີສາດ	Химия
14 ກຸມພາ	14 февраля
22 ມີນາ	22 марта
16 ເມສາ	16 апреля
ອາໂນນ ຊວາເຊເນກເກີ	Шварценеггер, Арнольд
19 ກໍລະກົດ	19 июля
ເຕະບານ	Футбол
ໄອໂຟນ	IPhone
ເຮືອດຳນ້ຳ	Подводная лодка
ໄມເຄິ້ນ ແຈັກຊັ້ນ	Джексон, Майкл
ພະລາຊະວັງແວກໄຊ	Версаль
ມະຫາວິຫານນົດ-ດາມ	Собор Парижской Богоматери
ໝວດ:ແມ່ແບບ	Категория:Википедия:Шаблоны
ແມ່ນ້ຳອາມາຊົນ	Амазонка
ໂຮງຮຽນ	Школа
ມະຫາວິທະຍາໄລ	Университет
ວິກິພີເດຍ:Sandbox	Википедия:Песочница
ວິກິພີເດຍ:ເລີ່ມຕົ້ນ	Википедия:Добро пожаловать в Википедию
ເຮືອນ	Жилище
ທະວີບອົດສະຕະຣາລີ	Австралия (континент)
ຮາດແວ	Аппаратное обеспечение
ພຶດຊະຄະນິດ	Алгебра
ສະໜາມບິນດົງເຮີຍ	Донгхой (аэропорт)
ອາວະກາດ	Космическое пространство
ປ່າໄມ້	Лес
ຂົງຈື້	Конфуций
ມາຣິລິນ ມອນໂຣ	Мэрилин Монро
ໝວດ:ຄະນິດສາດ	Категория:Математика
ເອີໂລ	Евро
ທະເລເມດີແຕກລາເນ	Средиземное море
ຄິດຕະສາສະໜາ	Христианство
Windows 8	Windows 8
ເຂົ້າຈ້າວ	Рис (продукт питания)
ທະວີບ	Континент
ສັດປີກ	Птицы
ນະຄອນຫຼວງ	Столица
ພາສາປອກຕຸຍການ	Португальский язык
ເດືອນ	Месяц
1949	1949 год
ຕາກດີກະລາດາ	Тихоходки
ພາສາຍີ່ປຸ່ນ	Японский язык
ໜ້າຈໍ	Монитор (устройство)
ສາລານຸກົມ	Энциклопедия
ໜ້າຫຼັກ	Заглавная страница
ຊີພີຢູ	Процессор
ເຣົາເຕີຣ໌	Маршрутизатор
ໂຕຕ້ານໄຟຟ້າ	Резистор
ທຣານຊິສເຕີ	Транзистор
ເບດບອນ	Бейсбол
ບານບ້ວງ	Баскетбол
ກິລາໂອແລມປິກ	Олимпийские игры
ລົດເມ	Автобус
ແຄວ້ນກາຕາໂລຍ	Каталония
ການຮ່ວມເພດ	Половой акт
ປັດຊະຍາ	Философия
ຈິມິ ເຮນດຣິກຊ໌	Хендрикс, Джими
ໝວດ:Candidates for speedy deletion	Категория:Википедия:К быстрому удалению
ອະນາທິປະໄຕ	Анархизм
ລັດທິທຶນນິຍົມ	Капитализм
ປະເທດ	Страна
ເວັບເບຣົາວ໌ເຊີຣ໌	Браузер
Boeing 737	Boeing 737
ໝວດ:ດາຣາສາດ	Категория:Астрономия
ການປະຕິວັດຝະລັ່ງ	Великая французская революция
ຮັກຮ່ວມເພດ	Гомосексуальность
ອາຫານຝະລັ່ງ	Французская кухня
ໂຮແມ	Гомер
ພາສາກາຕາລັງ	Каталанский язык
ພຣະພຸດທະເຈົ້າ	Будда
ອະເທວະນິຍົມ	Атеизм
ຫໍສະໝຸດ	Библиотека
ນິເວດສາດ	Экология
ການເມືອງ	Политика
ລະບອບປະຊາທິປະໄຕ	Демократия
ໂລກາພິວັດ	Глобализация
ແຊນ	Ген
ລັດຖະບານ	Правительство
ຄວາມສວຍງາມ	Красота
ລາຊາທິປະໄຕ	Монархия
ລັດ	Государство
ດັງ	Нос
ເພງ	Песня
ເດິນຟິນ	Дельфины
ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ	Млекопитающие
ໂລຊີຊີແອນ	Программное обеспечение
ອາເດແອັນ	Дезоксирибонуклеиновая кислота
ແອສະແປດ	Биологический вид
ພາສາລັດເຊຍ	Русский язык
ກົດໝາຍ	Право
ລັດຖະທຳມະນູນ	Конституция
ສະມາຄົມປະຊາຊາດແຫ່ງອາຊີຕາເວັນອອກສຽງໃຕ້	Ассоциация государств Юго-Восточной Азии
ກອງທືນການເງີນລະຫວ່າງປະເທດ	Международный валютный фонд
ພາສາສະວາຮີລີ	Суахили
ພາສາຈີນ	Китайский язык
ທຳມະຊາດ	Природа
ນ້ຳດື່ມ	Питьевая вода
ພາສາລູມານີ	Румынский язык
ສຶກສາສາດ	Педагогика
ແຮ່ທາດ	Минерал
ເຊັນ	Дзэн
ເມົາສ໌	Компьютерная мышь
ປະໂລເຕອິນ	Белки
ພະຍຸໂທຣນາໂດ	Смерч
ໄຕມຸມ	Тригонометрия
ເລຂາຄະນິດ	Геометрия
ໄວຍະກອນ	Грамматика
ນິນເທັນໂດ	Nintendo
ເສດຖະສາດ	Экономика (наука)
ທຶນ	Капитал
ເງິນຕາ	Валюта
ເຢນ	Японская иена
ອຸດສາຫະກຳ	Промышленность
ພາສີ	Налог
ພາສາສາດ	Лингвистика
ຄຳ (ພາສາສາດ)	Слово
ໂຕໜັງສືເກຣັກ	Греческий алфавит
ວັນນະຄະດີ	Литература
ໝວດ:ປະເທດຝະລັ່ງ	Категория:Франция
ໝວດ:ດົນຕີ	Категория:Музыка
ໝວດ:ວັນນະຄະດີ	Категория:Литература
ຂັ້ນຕອນວິທີ	Алгоритм
ການສຶກສາ	Образование
ຄອບຄົວ	Семья
ກາເຟ	Кофе
ນົມ	Молоко
ສົງຄາມເຢັນ	Холодная война
ຊຽງໄຮ້	Шанхай
ອິນເຕີຣ໌ເນັຕ ໂປຣໂຕໂຄລ	IP
ໄບຕ໌	Байт
ບິຕ	Бит
ຄວາມຮູ້	Знание
ສາສະໜາພາມ	Индуизм
ປະລະມະນູ	Атом
ພາສາກະເລັກ	Греческий язык
ລະບົບປະຕິບັດການ	Операционная система
ອີແມລ	Электронная почта
ສາສະໜາ	Религия
ພາສາເກົາຫຼີ	Корейский язык
ຕຶກແອັມພາຍສະເຕດ	Эмпайр-стейт-билдинг
ອະນຸສາວະລີເທພີເສລີພາບ	Статуя Свободы
ພາສາລາວ	Лаосский язык
ພາສາໄທ	Тайский язык
ສາສະໜາຊູດາ	Иудаизм
ພາສາການ	Валлийский язык
ສາສະໜາຊິກ	Сикхизм
ຈອນ ເມນາດ ເຄນ	Кейнс, Джон Мейнард
ວຽງຈັນ	Вьентьян
ພຶຕິກຳ	Поведение
ອາລົມ	Эмоция
ຈິຕະວິທະຍາ	Психология
ຄວາມຄຶດ	Мышление (психология)
ມະຫາສະໝຸດ	Океан
ຈະລິຍະທຳ	Этика
ຍານວິທະຍາ	Эпистемология
ເຈດຈຳນົງເສລີ	Свобода воли
ແກນກາງ	Ядро операционной системы
ສົມເດັດພະລາຊິນີນາດເອລີຊາແບັດທີ 2 ແຫ່ງສະຫະລາຊະອານາຈັກ	Елизавета II
ຄວາມທຸກຍາກ	Бедность
ຕາລາງທາດ	Периодическая система химических элементов
ເດິນຟິນໜູ	Морские свиньи
ກົກໄມ້	Дерево
ເນີຍແຂງ	Сыр
ຜັກ	Овощи
ໂຣບົດ	Робот
ເຕັກໂນໂລຊີ	Технология
ກົນຈັກ	Машина
ວິສະວະກຳ	Инженерное дело
ສານສົນເທດ	Информация
ໜັງສືພິມ	Газета
ໂທລະສັບ	Телефон
ວັດທະນະທຳ	Культура
ຫມາຍເລກໄອພີ	IP-адрес
ແພດສາດ	Медицина
ອົງກອນນິຕິບັນຍັດ	Законодательная власть
ຫ້ຽນ	Троллинг
ສົມຜົນ	Уравнение
ຕຳລາ (ຄະນິດສາດ)	Функция (математика)
ກະລູຊິດ	Углеводы
ຮອກມົນ	Гормоны
ເກມ	Игра
ຂອງຫຼິ້ນ	Игрушка
ຮູບເງົາ	Фильм
ລົດຖີບ	Велосипед
ກຳປັ່ນ	Судно
ກະສິກຳ	Сельское хозяйство
ລາຍຊື່ໜ່ວຍນັບເວລາ	Время
ເຈ້ຍ	Бумага
ປະລາສະຕິກ	Пластмассы
ເນື້ອທີ່	Площадь
ຈຳນວນ	Число
ຈຳນວນສົນ	Комплексное число
ແມັດ	Метр
ຈິຕະກຳ	Живопись
ນັກອາວະກາດ	Космонавт
ການຖ່າຍຮູບ	Фотография
ການຟ້ອນລຳ	Танец
ເອເລັກໂຕຣນິກ	Электроника
ສ່ວນປະກອບເອເລັກໂຕຣນິກ	Электронные компоненты
ດີອົດ	Диод
ເຕັກໂນໂລຊີຂໍ້ມູນຂ່າວສານ	Информационные технологии
ຕະຫລາດຫລັກຊັບ	Фондовая биржа
ອາຊີຕາເວັນອອກສຽງໃຕ້	Юго-Восточная Азия
ບະລັງແນດ	Белоснежка
ຊັງດີຢົງ	Золушка
ປະຕິທິນ	Календарь
ເຂດເວລາ	Часовой пояс
ສຸຂະພາບ	Здоровье
ເອດສ໌	ВИЧ-инфекция
ສະຖາປັດຕະຍະກຳ	Архитектура
ຂົວ	Мост
ເຂົ້າໜົມມາກາຣົງ	Макарон
ສະຖິຕິສາດ	Статистика
ຈຳນວນຖ້ວນ	Целое число
ເຂື່ອນສາມຜາ	Три ущелья (электростанция)
ຍຸກແສງສະຫວ່າງ	Эпоха Просвещения
ສະໄໝກາງ	Средние века
ລວມຍອດຜະລິດຕະພັນພາຍໃນ	Валовой внутренний продукт
ແຟຊັ້ນ	Мода
ລູກຄິດ	Абак
ຄາບສະໝຸດອີເບລີ	Пиренейский полуостров
ຈຳນວນຈິງ	Вещественное число
ໝາກຟະແລດ	Земляника ананасная
ໝາກກ້ຽງ	Апельсин
ພາສາຈ້ວງ	Чжуанский язык
ພາສານາວາເທິນ	Астекские языки
ສິ່ງແວດລ້ອມສໍາລັບການພັດທະນາແບບຮວບຮວມ	Интегрированная среда разработки
ພາສາອາຣັບ	Арабский язык
ພາສາອົກຊີຕັງ	Окситанский язык
ນາຍົກລັດຖະມົນຕີ	Премьер-министр
ສໍດຳ	Карандаш
ໂຕະ	Стол
ແທັງເກີ	Танкер
ກວາງຄໍຍາວ	Жираф
ພາສາເຊ	Си (язык программирования)
ວິກິພີເດຍ:ບົດຄວາມດີເດັ່ນ	Википедия:Избранные статьи
ວິກິພີເດຍ:Village pump	Википедия:Форум
ກວ່າງໂຈວ	Гуанчжоу
ໂຮງໜໍ	Больница
ການສົມລົດເພດດຽວກັນ	Однополый брак
ໂທລະສັບມືຖື	Сотовый телефон
ລົດສະນິຍົມທາງເພດ	Сексуальная ориентация
ງົວປ່າອາເມລິກາ	Бизоны
ບານເຕະໂລກ	Чемпионат мира по футболу
ຍາຈາງ	Нячанг
ສາທາລະນະສົມບັດ	Общественное достояние
ກຸ່ມພາສາໂລມັງ	Романские языки
ຮູບສາມແຈ	Треугольник
ຈຳນວນທຳມະຊາດ	Натуральное число
ສັດທະອັກສອນສາກົນ	Международный фонетический алфавит
ສະມາດໂຟນ	Смартфон
ພິກັດພູມສາດ	Географические координаты
ເກີບ	Лёгкая обувь
ເສລີພາບໃນການເວົ້າ	Свобода слова
ສວນສາທາລະນະ	Парк
ສັບປະດາ	Неделя
ຜັກທຽມ	Чеснок
ມະນຸດສາດ	Антропология
ເອແດມບວກ	Эдинбург
កោះ	Остров
ພາສາລັດຖະການ	Официальный язык
ບູຮານວິທະຍາ	Археология
ອຸດທະຍານແຫ່ງຊາດຟົງ ງາ-ເຄ ບັງ	Фонгня-Кебанг
ແຂວງກວາງບິນ	Куангбинь
ເສັ້ນສູນສູດ	Экватор
ປະໂລແຕສະຕັງ	Протестантизм
ວັດຈະນານຸກົມ	Словарь
ເພງຊາດ	Государственный гимн
ຄຳກຳມະ	Глагол
ພາສາແຟໂລ	Фарерский язык
ສັດກິນຊີ້ນ	Хищные
ເກາະຊີແລນ	Зеландия (остров)
ເຮືອຂ້າມຟາກ	Паром
Józef Gosławski	Гославский, Юзеф
ການຂັບລຳ	Пение
ເສັ້ນຜົມ	Волосы
ວິຊາຊີບ	Профессия
ສິນຄ້າ	Благо (экономика)
ຜົນຕຳລາ	Производная функции
ບລອກ	Блог
ນົກແກ້ວ	Попугаеобразные
ຊື່ໂດເມນ	Доменное имя
ມ້າລາຍ	Зебры
ເລກມາຕະຖານສາກົນປະຈຳປຶ້ມ	Международный стандартный книжный номер
ພາສາຈາໂມໂລ	Чаморро (язык)
ພາສາເຈໂລກີ	Чероки (язык)
ຈິຕະນິຍົມ	Идеализм
ເສັ້ນຂະໜານ	Широта
ໝວດ:ພາສາໂປແກມ	Категория:Языки программирования
ຈັດສະຕິນ ບີເບີ	Бибер, Джастин
ກຸ່ມພາສາໄທ-ກະໄດ	Тай-кадайские языки
ເນີຍ	Сливочное масло
ເທວະວິທະຍາ	Богословие
ນ້ຳຕົກຕາດນີອາກາລາ	Ниагарский водопад
ໂຫລາສາດ	Астрология
ຫົງ	Лебеди
ຫົນທາງ	Дорога
ເຮລີກົບແຕ	Вертолёт
ລົດຈັກ	Мотоцикл
ມ້າແມ່ນ້ຳ	Обыкновенный бегемот
ສັງຄົມສາດ	Общественные науки
ແຫຼມ	Полуостров
ລະຫັດໂທລະສັບລະຫວ່າງປະເທດ	Список телефонных кодов стран
ຟົວກາ	Фуа-гра
ມົນທົນ	Провинция
ໝາກຫຸ່ງ	Папайя
ວິຕາມິນ	Витамины
ເວັບໄຊຕ໌	Сайт
ກວາງອູດ	Лось
ເສືອອາເມລິກາ	Ягуар
ສະພາ	Парламент
ສະພາວະເງິນເຟີ້	Инфляция
ເຮືອ	Лодка
ໂປລີເນຊີ	Полинезия
ດຽນບຽນຟູ	Дьенбьенфу (город)
ໝີໄຮ້ຫາງ	Коала
ເສັ້ນແວງ	Долгота
ສະຫັດສະວັດ	Тысячелетие
ຊ້າງຂົນຍາວ	Мамонты
ອອງ ຊານ ຊຸຈີ	Аун Сан Су Чжи
ໄຂ້ຫວັດຫມູ	Свиной грипп
ພາສາໄທລື້	Лы (язык)
ເສິນຫຼົງ	Чан, Джеки
ເອກະລາດ	Независимость
ມະຣິວຸລ	Мариуполь
ມະຫາປີລະມິດ ແຫ່ງ ກິຊາ	Пирамида Хеопса
ISO 4217	ISO 4217
ຕະຫຼາດ	Рынок
ກະໂລໂມຊົມ	Хромосома
ມັນດ້າງ	Батат
ພະຍັນຊະນະ	Согласные
ນ້ຳຕົກຕາດຄອນພະເພັງ	Кхон (водопады)
ຟີລຳ	Тип (биология)
ພະເຈົ້າຮົງລີທີ 8 ແຫ່ງອັງກິດ	Генрих VIII
ຂ່າວ	Новости
ດັດສະນີການພັດທະນາມະນຸດ	Индекс человеческого развития
ເສດຖະສາດຈຸນລະພາກ	Микроэкономика
ສັດລ້ຽງ	Животные-компаньоны
ເລເຈບ ໄຕຢິບ ແອໂດກັນ	Эрдоган, Реджеп Тайип
ນໍ້າມັນເຊື້ອໄຟ	Бензин
ເສດຖະສາດມະຫາພາກ	Макроэкономика
ສະໜວນກາຊາ	Сектор Газа
ເຄື່ອງດື່ມ	Напиток
ປະໂລກະລຳ ແອງຟອກມາຕິກ	Компьютерная программа
ຍານອາວະກາດ	Космический аппарат
ເຈັນນິເຟີຣ໌ ໂລເປສ	Лопес, Дженнифер
ມີດຕັດ	Ножницы
ຊ້າງທະເລ	Морж
ຕຶກ	Здание
ແມ່ນ້ຳຂອງ	Меконг
ວາລະສານ	Журнал
ສານ	Суд
Rupiah ອິນໂດເນເຊຍ	Индонезийская рупия
ປະໂຫຍກ	Предложение (лингвистика)
ສວນລອຍຟ້າບາບິລອນ	Висячие сады Семирамиды
ໝາແຜງ	Гиены
ພິ່ນອິ່ນ	Пиньинь
ເຊື້ອໄຟ	Топливо
ອູດແກະໃຫຍ່	Лама (животное)
ຄວາຍ	Азиатский буйвол
Long Thanh International Airport	Лонгтхань (аэропорт)
ຍານພາຫະນະ	Транспортное средство
ນ້ຳມັນ	Масло
ວິນຍານນິຍົມ	Анимизм
ບໍລິການຂໍ້ຄວາມສັ້ນ	SMS
ເຮືອນຄົວ	Кухня (помещение)
ຮັກຮ່ວມສອງເພດ	Бисексуальность
ເອສົບ	Эзоп
ສິ່ງແວດລ້ອມ	Окружающая среда
ໂກແລສະເຕໂລນ	Холестерин
ສະຫະພັນທະລັດ	Федеративное государство
ໄຂ້ຫວັດນົກ	Птичий грипп
ມາຕຣິກ	Матрица (математика)
ຕຳນານ	Легенда
ເທວາທິປະໄຕ	Теократия
ຂົວໂກນເດນເກດ	Золотые Ворота (мост)
ໝາກສຸກ ໝາກໃສ	Ветряная оспа
ທ່າເຮືອ	Порт
Vaishnavism	Вайшнавизм
ໝາກມີ້	Джекфрут
ທຸງຊາດລາວ	Флаг Лаоса
ໃບສະຫຼຸບຊັບສົມບັດ	Бухгалтерский баланс
ສາຍການບິນ	Авиакомпания
ເສດຖະສາດສາກົນ	Международные экономические отношения
ວັນກຳມະກອນສາກົນ	Первое мая (праздник)
ລາດາ	Радиолокационная станция
ແມ່ແບບ:Commonscat	Шаблон:Commonscat
ຈັກກະວັດແອສະປາຍ	Империя
ມະຫາຍານ	Махаяна
ກະສວຍອາວະກາດ	Спейс шаттл
ການທ່ອງທ່ຽວ	Туризм
ຕູ້ໄປສະນີ	Почтовый ящик
Visual Basic .NET	Visual Basic .NET
ແຂວງ	Административное деление Лаоса
ຕຳລາຂັ້ນສອງ	Квадратичная функция
ອີໂບລາ	Геморрагическая лихорадка Эбола
ໝວດ:ລັດຖະບານ	Категория:Правительство
ໝວດ:ຄວາມຮັກ	Категория:Любовь
ສະຖານີລົດໄຟ	Железнодорожная станция
ພາສາມາລິໂຄປາ	Марикопа (язык)
ພາສາໂຮປີ	Хопи (язык)
ພາສາເຮົາຊາ	Хауса (язык)
ພາສາໄທເໜືອ	Шанский язык
ຈູມມະລີ ໄຊຍະສອນ	Сайнясон, Тюммали
ຫງວຽນເຕິນຢຸງ	Нгуен Тан Зунг
ຍິ່ງລັກ ຊິນນະວັດ	Чиннават, Йинглак
ທອງສິງ ທຳມະວົງ	Тхаммавонг, Тхонгсинг
ກ້ອງດິຈິຕອນ	Цифровой фотоаппарат
ອັດຕາແລກປ່ຽນ	Валютный курс
ທະນາຄານກາງ	Центральный банк
ການຜັງເມືອງ	Градостроительство
ຮອບບິດ (ປຶ້ມ)	Хоббит, или Туда и обратно
ຄະນາທິປະໄຕ	Олигархия
ບານເຕະໂລກ 2014	Чемпионат мира по футболу 2014
ການແຍກໃຊ້ອຳນາດ	Разделение властей
ໝາກກ້ຽງໃຫຍ່	Помело (фрукт)
ວົງຈອນພອນ	Мангустовые
ໄຟຟ້າພະລັງນໍ້າ	Гидроэлектростанция
ວິສະວະກຳໂລຊີຊີແອນ	Программная инженерия
ອູດແກະ	Альпака
ຄວາມກົດອາກາດ	Атмосферное давление
ບ່ວງ	Ложка
VoIP	IP-телефония
ໄມ້ຖູ່	Палочки для еды
ກຳລັງຊື້ທຽບຖານ	Паритет покупательной способности
ເຄື່ອງໝາຍວັກ	Пунктуация
ຕັກຊີ	Такси
ຄຳອຸທານ	Междометие
ພຽງພອນເໝັນ	Скунсовые
ເຊລີນ້າ ໂກເມຊ	Гомес, Селена
ໂຮງງານ	Фабрика
ບານເຕະທີມຊາດບະເລຊິນ	Сборная Бразилии по футболу
ບານໂປໂລຍ	Polandball
ຕຳລາໄຕມຸມ	Тригонометрические функции
ຄຣິສຕະຈັກເຊເວັນເດ ແອັດເວັນຕິສ	Церковь адвентистов седьмого дня
PAL	PAL
ອຳນາດຕຸລາການ	Судебная власть
